SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Actual,Prediction,Churn Probability,Risk Score,Risk Category
0,1,77.15,77.15,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.95733863,95.73,Critical
1,1,75.75,75.75,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.95687485,95.69,Critical
0,1,95.65,95.65,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,1,1,0.95559883,95.56,Critical
1,1,93.55,93.55,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9546323,95.46,Critical
0,1,79.7,79.7,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9532131,95.32,Critical
1,2,93.85,170.85,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.95306385,95.31,Critical
0,1,101.45,101.45,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.95249695,95.25,Critical
1,1,79.1,79.1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9520391,95.2,Critical
0,5,93.9,486.85,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,1,1,0.9518248,95.18,Critical
0,1,79.05,79.05,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9516763,95.17,Critical
0,12,99.95,1132.75,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,1,1,0.95144284,95.14,Critical
1,1,78.45,78.45,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,1,0.9510749,95.11,Critical
0,1,95.45,95.45,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9503802,95.04,Critical
1,1,95.1,95.1,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.94915646,94.92,Critical
1,1,100.8,100.8,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9491373,94.91,Critical
1,1,85.05,85.05,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.94846064,94.85,Critical
1,1,79.2,79.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9484279,94.84,Critical
0,1,78.05,78.05,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,1,0.94719714,94.72,Critical
1,1,43.3,43.3,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9468611,94.69,Critical
0,2,96.0,174.8,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9462034,94.62,Critical
0,1,79.55,79.55,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.94592184,94.59,Critical
0,1,79.5,79.5,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.94592184,94.59,Critical
0,1,78.95,78.95,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.94557935,94.56,Critical
0,10,98.5,1058.25,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,1,1,0.9452648,94.53,Critical
1,1,90.6,90.6,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9449224,94.49,Critical
0,1,85.45,85.45,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.94448936,94.45,Critical
0,1,99.75,99.75,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9444892,94.45,Critical
0,1,94.4,94.4,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,1,1,0.94413847,94.41,Critical
1,1,91.3,91.3,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9440392,94.4,Critical
0,1,79.95,79.95,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.94392186,94.39,Critical
0,1,79.65,79.65,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.94361734,94.36,Critical
0,1,85.8,85.8,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1,1,0.94349796,94.35,Critical
1,2,88.55,179.25,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.94280344,94.28,Critical
1,4,99.6,347.65,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9414792,94.15,Critical
0,1,79.55,79.55,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.94070005,94.07,Critical
1,8,105.5,829.55,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9405777,94.06,Critical
0,1,79.25,79.25,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.94035375,94.04,Critical
0,7,99.8,673.25,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9398671,93.99,Critical
0,1,79.55,79.55,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,1,0.9394911,93.95,Critical
0,1,79.35,79.35,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1,1,0.9388297,93.88,Critical
0,12,96.05,1148.1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9385723,93.86,Critical
1,1,69.25,69.25,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.93841124,93.84,Critical
0,3,96.6,291.9,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.93770736,93.77,Critical
0,1,35.45,35.45,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9369631,93.7,Critical
0,1,35.55,35.55,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9369631,93.7,Critical
1,1,86.05,86.05,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9367761,93.68,Critical
1,1,69.6,69.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.93627536,93.63,Critical
1,1,69.65,69.65,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.93627536,93.63,Critical
1,1,69.6,69.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.93627536,93.63,Critical
0,1,78.8,78.8,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,1,0.93624634,93.62,Critical
1,1,69.55,69.55,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.93607867,93.61,Critical
0,1,69.6,69.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9356524,93.57,Critical
0,1,69.5,69.5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9355411,93.55,Critical
0,1,69.2,69.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9355411,93.55,Critical
0,1,90.55,90.55,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1,1,0.93548715,93.55,Critical
0,1,90.6,90.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1,1,0.93548715,93.55,Critical
0,1,69.2,69.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9355411,93.55,Critical
0,1,79.15,79.15,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9348618,93.49,Critical
0,1,68.95,68.95,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9348522,93.49,Critical
1,1,88.8,88.8,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.93484205,93.48,Critical
1,6,98.25,560.6,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9346687,93.47,Critical
0,3,91.5,242.95,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1,1,0.93409413,93.41,Critical
0,1,95.6,95.6,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.93395114,93.4,Critical
1,1,85.7,85.7,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9336526,93.37,Critical
1,11,104.05,1133.65,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,1,1,0.9335873,93.36,Critical
1,1,69.65,69.65,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9317784,93.18,Critical
0,1,69.65,69.65,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.93160427,93.16,Critical
0,1,69.6,69.6,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.93160427,93.16,Critical
0,1,69.1,69.1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9314864,93.15,Critical
0,1,69.35,69.35,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9314864,93.15,Critical
0,1,69.55,69.55,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9314864,93.15,Critical
0,1,69.35,69.35,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9314864,93.15,Critical
1,4,95.45,396.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.930496,93.05,Critical
0,1,80.25,80.25,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.93021137,93.02,Critical
1,4,94.3,424.45,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9293285,92.93,Critical
0,10,98.5,1037.75,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.92904866,92.9,Critical
1,3,105.9,334.65,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9287985,92.88,Critical
0,12,98.9,1120.95,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,1,1,0.9282021,92.82,Critical
1,1,36.45,36.45,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9275703,92.76,Critical
0,4,91.65,365.4,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9272893,92.73,Critical
1,4,99.8,442.85,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,1,1,0.9268451,92.68,Critical
0,1,85.0,85.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9267081,92.67,Critical
0,1,76.35,76.35,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,1,0.92656684,92.66,Critical
0,1,79.6,79.6,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1,0.9261534,92.62,Critical
0,1,69.15,69.15,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.92588615,92.59,Critical
0,11,102.0,1145.35,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9258098,92.58,Critical
0,1,79.6,79.6,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9257571,92.58,Critical
0,1,100.25,100.25,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,1,1,0.9250084,92.5,Critical
0,2,94.2,193.8,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,1,1,0.9246337,92.46,Critical
0,4,97.95,384.5,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.92425495,92.43,Critical
1,1,85.0,85.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.92423356,92.42,Critical
0,1,79.9,79.9,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1,0.9240868,92.41,Critical
0,4,87.1,341.45,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,1,1,0.92375803,92.38,Critical
0,1,86.6,86.6,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9238471,92.38,Critical
0,1,50.35,50.35,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9234684,92.35,Critical
0,1,69.65,69.65,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9235158,92.35,Critical
0,5,99.15,465.05,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,1,1,0.9234049,92.34,Critical
0,6,93.55,536.4,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,1,1,0.9229209,92.29,Critical
1,1,69.25,69.25,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9228763,92.29,Critical
1,9,99.45,919.4,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,1,1,0.92266333,92.27,Critical
0,1,80.15,80.15,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,1,0.92264223,92.26,Critical
0,2,49.25,90.35,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.92244905,92.24,Critical
0,1,79.35,79.35,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9221442,92.21,Critical
0,2,95.15,196.9,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9211611,92.12,Critical
0,4,100.2,420.2,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9207723,92.08,Critical
0,1,76.2,76.2,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,1,0.92074263,92.07,Critical
0,3,95.2,292.85,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9205264,92.05,Critical
1,12,98.1,1060.2,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.920242,92.02,Critical
0,7,98.05,713.0,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,1,1,0.9201396,92.01,Critical
1,3,41.15,132.2,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.91968554,91.97,Critical
0,2,104.4,242.8,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,1,1,0.9192532,91.93,Critical
1,1,75.35,75.35,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9188653,91.89,Critical
0,2,85.7,169.8,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9180622,91.81,Critical
0,11,100.75,1129.75,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.91789424,91.79,Critical
0,1,68.65,68.65,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,0.91705877,91.71,Critical
0,10,100.6,1060.2,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.91565084,91.57,Critical
0,9,98.3,923.5,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,1,1,0.91441804,91.44,Critical
1,7,101.95,700.85,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.91427934,91.43,Critical
0,4,84.8,371.9,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.9117834,91.18,Critical
0,1,75.45,75.45,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.91115224,91.12,Critical
0,6,94.05,518.75,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,0,1,0.9108599,91.09,Critical
0,1,68.5,68.5,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9105852,91.06,Critical
1,7,95.6,644.35,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,1,1,0.91054094,91.05,Critical
1,1,69.1,69.1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,0.91039145,91.04,Critical
0,6,99.95,547.65,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,1,1,0.91037047,91.04,Critical
0,3,101.55,298.35,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,1,1,0.9095768,90.96,Critical
1,5,79.9,343.95,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.9094775,90.95,Critical
0,5,90.8,455.5,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.90954393,90.95,Critical
0,1,69.55,69.55,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.9091775,90.92,Critical
1,1,69.5,69.5,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.9091411,90.91,Critical
0,11,94.0,1078.9,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9089253,90.89,Critical
0,1,76.0,76.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,0.90885985,90.89,Critical
1,1,74.45,74.45,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.90851384,90.85,Critical
0,1,75.3,75.3,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9085456,90.85,Critical
1,12,99.45,1200.15,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9080083,90.8,Critical
1,1,25.1,25.1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.90801483,90.8,Critical
1,1,40.2,40.2,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,1,0.9079462,90.79,Critical
1,2,86.85,156.35,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1,1,0.90729016,90.73,Critical
1,4,88.85,372.45,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1,1,0.9072104,90.72,Critical
0,1,75.7,75.7,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.9066662,90.67,Critical
0,3,100.95,329.95,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.90592515,90.59,Critical
0,2,91.4,193.6,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,1,1,0.9057321,90.57,Critical
0,1,69.9,69.9,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.90547997,90.55,Critical
0,1,69.9,69.9,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.90547997,90.55,Critical
0,1,69.8,69.8,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.90547997,90.55,Critical
0,1,69.9,69.9,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.90547997,90.55,Critical
0,1,69.85,69.85,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.90547997,90.55,Critical
0,12,96.0,1062.1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,1,0.9045518,90.46,Critical
1,3,94.85,335.75,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0,1,0.9038267,90.38,Critical
1,2,30.4,78.65,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0.90368474,90.37,Critical
0,5,94.85,462.8,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,1,1,0.90336466,90.34,Critical
